id,label
452,benign
453,benign
454,malicious
455,malicious
456,benign
457,benign
458,malicious
459,malicious
460,benign
461,malicious
462,benign
463,malicious
464,malicious
465,benign
466,malicious
467,benign
468,benign
469,malicious
470,benign
471,benign
472,malicious
473,benign
474,malicious
475,malicious
476,malicious
477,benign
478,malicious
479,benign
480,benign
481,benign
482,malicious
483,benign
484,malicious
485,benign
486,malicious
487,malicious
488,benign
489,malicious
490,benign
491,benign
492,benign
493,malicious
494,benign
495,benign
496,benign
497,malicious
498,benign
499,malicious
500,malicious
501,malicious
502,malicious
503,benign
504,benign
505,benign
506,malicious
507,malicious
508,malicious
509,benign
510,malicious
511,malicious
512,benign
513,benign
514,malicious
515,malicious
516,benign
517,malicious
518,benign
519,benign
520,benign
521,benign
522,benign
523,benign
524,malicious
525,malicious
526,benign
527,malicious
528,malicious
529,benign
530,benign
531,malicious
532,malicious
533,malicious
534,benign
535,malicious
536,malicious
537,benign
538,benign
539,benign
540,benign
541,malicious
542,malicious
543,benign
544,malicious
545,benign
546,malicious
547,malicious
548,benign
549,benign
550,benign
551,malicious
552,malicious
553,malicious
554,benign
555,malicious
556,benign
557,malicious
558,malicious
559,malicious
560,malicious
561,malicious
562,malicious
563,benign
564,malicious
565,benign
566,benign
567,benign
568,malicious
569,malicious
570,malicious
571,malicious
572,malicious
573,malicious
574,malicious
575,benign
576,malicious
577,benign
578,benign
579,malicious
580,malicious
581,benign
582,benign
583,benign
584,malicious
585,malicious
586,benign
587,malicious
588,malicious
589,malicious
590,benign
591,malicious
592,malicious
593,malicious
594,malicious
595,benign
596,benign
597,benign
598,benign
599,malicious
600,benign
601,benign
602,benign
603,benign
604,benign
605,malicious
606,benign
607,malicious
608,benign
609,malicious
610,benign
611,benign
612,malicious
613,malicious
614,benign
615,benign
616,malicious
617,malicious
618,malicious
619,malicious
620,benign
621,benign
622,malicious
623,benign
624,malicious
625,malicious
626,malicious
627,malicious
628,malicious
629,malicious
630,malicious
631,benign
632,malicious
633,malicious
634,benign
635,benign
636,benign
637,malicious
638,malicious
639,benign
640,benign
641,malicious
642,benign
643,malicious
644,malicious
645,benign
646,benign
647,malicious
648,benign
649,malicious
650,malicious
651,malicious
652,malicious
653,malicious
654,benign
655,benign
656,malicious
657,benign
658,benign
659,malicious
660,benign
661,benign
662,malicious
663,benign
664,benign
665,benign
666,malicious
667,malicious
668,benign
669,malicious
670,benign
671,benign
672,benign
673,malicious
674,benign
675,benign
676,malicious
677,malicious
678,malicious
679,malicious
680,malicious
681,benign
682,benign
683,benign
684,malicious
685,malicious
686,malicious
687,malicious
688,malicious
689,malicious
690,benign
691,benign
692,malicious
693,benign
694,malicious
695,benign
696,malicious
697,malicious
698,benign
699,benign
700,malicious
701,malicious
702,benign
703,benign
704,benign
705,malicious
706,malicious
707,benign
708,malicious
709,benign
710,benign
711,malicious
712,malicious
713,malicious
714,benign
715,malicious
716,benign
717,benign
718,malicious
719,benign
720,malicious
721,malicious
722,benign
723,benign
724,benign
725,benign
726,malicious
727,benign
728,malicious
729,malicious
730,benign
731,benign
732,benign
